"country";"datum";"tests_done";"vaccinations";"death";"cases";"hospital_admissions100k";"icu_admissions100k"
"Cyprus";"2021-03-29";363713;11698;10;3091;17.0044087589597;2.3648515492593
"Cyprus";"2021-04-05";376131;10975;10;3756;19.8197082223636;2.70268748486777
"Cyprus";"2021-04-12";405916;11457;20;4785;22.972843621376;3.04052342047624
"Cyprus";"2021-04-19";422400;5019;9;5865;28.0403826555031;2.70268748486777
"Cyprus";"2021-04-26";236995;20873;17;4036;25.4503071491715;2.47746352779545
"Cyprus";"2021-05-03";300554;32723;19;3133;20.9458280077252;2.02701561365082
"Cyprus";"2021-05-10";385548;56590;11;1537;12.4999296175134;1.80179165657851
"Cyprus";"2021-05-17";302785;105527;9;862;7.54500256192251;1.46395572097004
"Cyprus";"2021-05-24";274694;98071;6;518;3.94141924876549;0.563059892680785
"Cyprus";"2021-05-31";262562;73353;6;398;2.47746352779545;0.112611978536157
"Cyprus";"2021-06-07";233130;61081;7;422;2.25223957072314;0.563059892680785
"Cyprus";"2021-06-14";201597;75661;0;492;3.94141924876549;0.900895828289255
"Cyprus";"2021-06-21";253702;58711;0;1275;3.71619529169318;0.225223957072314
"Cyprus";"2021-06-28";264007;76881;2;3614;8.67112234728408;1.23873176389773
"Cyprus";"2021-07-05";393857;87719;0;6964;14.7521691882366;1.12611978536157
"Cyprus";"2021-07-12";504666;38483;8;8225;22.6350076857675;2.47746352779545
"Cyprus";"2021-07-19";525868;26940;17;7124;26.3512029774607;2.92791144194008
"Cyprus";"2021-07-26";408184;26517;20;4953;26.0133670418522;3.49097133462086
"Cyprus";"2021-08-02";329652;39875;20;3489;22.8602316428399;3.26574737754855
"Cyprus";"2021-08-09";332594;33869;21;2724;16.6665728233512;3.49097133462086
"Cyprus";"2021-08-16";312549;27748;25;2301;14.0764973170196;2.02701561365082
"Cyprus";"2021-08-23";291094;26615;17;1777;10.2476900467903;1.23873176389773
"Cyprus";"2021-08-30";348500;16714;14;1264;10.3603020253264;1.01350780682541
"Cyprus";"2021-09-06";357863;15718;13;1534;8.1080624546033;1.5765676995062
"Cyprus";"2021-09-13";NA;6982;10;1026;5.18015101266322;1.46395572097004
"Czechia";"2019-12-30";NA;NA;0;0;0;0
"Czechia";"2020-01-06";NA;NA;0;0;0;0
"Czechia";"2020-01-13";NA;NA;0;0;0;0
"Czechia";"2020-01-20";NA;NA;0;0;0;0
"Czechia";"2020-01-27";43;NA;0;0;0;0
"Czechia";"2020-02-03";21;NA;0;0;0;0
"Czechia";"2020-02-10";14;NA;0;0;0;0
"Czechia";"2020-02-17";8;NA;0;0;0;0
"Czechia";"2020-02-24";125;NA;0;3;0;0
"Czechia";"2020-03-02";717;NA;0;30;0;0
"Czechia";"2020-03-09";4284;NA;0;266;0.074808730440673;0
"Czechia";"2020-03-16";12432;NA;1;866;1.1221309566101;0.27118164784744
"Czechia";"2020-03-23";26524;NA;22;1661;3.27288195677944;0.832247126152487
"Czechia";"2020-03-30";42642;NA;51;1772;4.83451420472849;1.19693968705077
"Czechia";"2020-04-06";45100;NA;72;1405;5.41428186564371;1.36525933054228
"Czechia";"2020-04-13";44165;NA;43;755;4.81581202211832;1.21564186966094
"Czechia";"2020-04-20";46583;NA;35;658;4.46047055252513;1.10342877399993
"Czechia";"2020-04-27";43476;NA;30;379;3.46925487418621;0.729385121796562
"Czechia";"2020-05-04";45140;NA;26;344;2.65570993064389;0.570416569610132
"Czechia";"2020-05-11";45693;NA;17;359;1.81411171318632;0.439501291338954
"Czechia";"2020-05-18";47258;NA;17;485;1.36525933054228;0.299234921762692
"Czechia";"2020-05-25";39410;NA;4;318;1.1221309566101;0.196372917406767
"Czechia";"2020-06-01";30973;NA;8;366;0.935109130508412;0.15896855218643
"Czechia";"2020-06-08";23542;NA;5;399;0.850949308762655;0.149617460881346
"Czechia";"2020-06-15";22721;NA;8;475;1.06602440877959;0.130915278271178
"Czechia";"2020-06-22";26321;NA;7;1106;1.000566769644;0.149617460881346
"Czechia";"2020-06-29";26475;NA;6;909;0.991215678338917;0.168319643491514
"Czechia";"2020-07-06";25402;NA;3;656;1.000566769644;0.215075100016935
"Czechia";"2020-07-13";27541;NA;6;770;1.01926895225417;0.168319643491514
"Czechia";"2020-07-20";35399;NA;11;1375;1.22499296096602;0.168319643491514
"Czechia";"2020-07-27";45156;NA;14;1454;1.5896855218643;0.205724008711851
"Czechia";"2020-08-03";48112;NA;7;1567;1.64579206969481;0.27118164784744
"Czechia";"2020-08-10";46601;NA;9;1657;1.78605843927107;0.299234921762692
"Czechia";"2020-08-17";48069;NA;16;1905;1.89827153493208;0.383394743508449
"Czechia";"2020-08-24";55606;NA;8;2448;2.16945318277952;0.542363295694879
"Czechia";"2020-08-31";69518;NA;17;3785;3.02975358284726;0.710682939186393
"Czechia";"2020-09-07";99363;NA;29;8033;4.64749237862681;0.944460221813496
"Czechia";"2020-09-14";129530;NA;56;13099;7.892321061491;1.67384534361006
"Czechia";"2020-09-21";136406;NA;99;15305;12.7081330836093;2.7118164784744
"Czechia";"2020-09-28";122170;NA;146;17865;18.4122987797106;3.98356489596584
"Czechia";"2020-10-05";147316;NA;301;34664;31.6440929764047;6.50835954833855
"Czechia";"2020-10-12";208593;NA;493;56776;52.5624842258779;9.0705585659316
"Czechia";"2020-10-19";269470;NA;898;84209;84.2159282935876;13.2411452879991
"Czechia";"2020-10-26";269556;NA;1357;83548;109.912727199959;16.672995796965
"Czechia";"2020-11-02";248150;NA;1531;73167;119.955799261619;18.8237467971343
"Czechia";"2020-11-09";241106;NA;1271;45344;108.257584038959;17.3275721883209
"Czechia";"2020-11-16";218645;NA;976;32154;88.152737733028;15.2609810098973
"Czechia";"2020-11-23";241188;NA;867;27421;77.6047067408931;13.1663365575585
"Czechia";"2020-11-30";233187;NA;749;27108;69.1045647445717;11.4363846661179
"Czechia";"2020-12-07";231174;NA;692;34255;67.7860608705548;11.2680650226264
"Czechia";"2020-12-14";319669;NA;766;46522;71.4236353882325;11.6795130400501
"Czechia";"2020-12-21";320361;0;770;46868;76.8659705277915;12.9606125488466
"Czechia";"2020-12-28";325810;0;987;72492;95.6055575031801;15.9342595838634
"Czechia";"2021-01-04";436171;6;1224;88893;113.858887730704;18.2813835014395
"Czechia";"2021-01-11";373168;2534;1159;56424;107.518847825857;18.7489380666937
"Czechia";"2021-01-18";330293;45749;1036;48170;98.6072578121121;17.4023809187616
"Czechia";"2021-01-25";361908;108290;974;47384;90.9580651245533;16.5327294273887
"Czechia";"2021-02-01";397232;216735;919;50073;89.929445080994;17.4584874665921
"Czechia";"2021-02-08";414892;255395;944;53496;92.3794310029261;17.9727974883717
"Czechia";"2021-02-15";489133;154791;1090;66316;100.159538968756;19.786909201558
"Czechia";"2021-02-22";594364;105802;1207;82937;113.625110448077;22.6296409583036
"Czechia";"2021-03-01";736960;78671;1407;85332;128.119301970958;26.126949106405
"Czechia";"2021-03-08";1187122;126585;1540;77162;136.105133945499;27.9223586369812
"Czechia";"2021-03-15";1272257;197347;1414;64963;133.224997823534;27.6324748065236
"Czechia";"2021-03-22";1294060;278620;1199;49434;122.714371196619;26.014736010744
"Czechia";"2021-03-29";1208144;423494;1030;37021;108.40720149984;22.7418540539646
"Czechia";"2021-04-05";1306628;455247;788;27361;88.9008250374348;19.3661100928292
"Czechia";"2021-04-12";1346087;449132;567;21511;70.6661969925207;15.784642122982
"Czechia";"2021-04-19";1352908;263619;417;17474;55.4239181652336;12.7735907227449
"Czechia";"2021-04-26";1373099;201589;333;14387;43.2955527425395;9.76253932250782
"Czechia";"2021-05-03";1446199;142871;254;10830;33.8415994330994;7.35930885710121
"Czechia";"2021-05-10";1448255;142473;166;7628;24.7803919584729;5.47038841347421
"Czechia";"2021-05-17";1599487;341355;104;4989;16.8693687143718;3.70303215681331
"Czechia";"2021-05-24";1410350;713511;57;3190;10.8379148225925;2.16945318277952
"Czechia";"2021-05-31";1294761;920832;37;2339;6.59251937008431;1.37461042184737
"Czechia";"2021-06-07";1116523;1079246;25;1411;3.66562779159298;0.729385121796562
"Czechia";"2021-06-14";1074012;1338230;13;931;2.16010209147443;0.486256747864374
"Czechia";"2021-06-21";934538;1461876;8;690;1.13148204791518;0.233777282627103
"Czechia";"2021-06-28";883036;1483986;5;1005;0.850949308762655;0.205724008711851
"Czechia";"2021-07-05";537970;972552;2;1352;0.570416569610132;0.149617460881346
"Czechia";"2021-07-12";725861;1223499;3;1599;0.561065478305047;0.168319643491514
"Czechia";"2021-07-19";722441;1078191;3;1334;0.74808730440673;0.177670734796598
"Czechia";"2021-07-26";755191;774656;4;1181;0.860300400067739;0.196372917406767
"Czechia";"2021-08-02";731799;668234;3;1190;0.879002582677908;0.243128373932187
"Czechia";"2021-08-09";742762;645527;12;1287;0.972513495728749;0.261830556542355
"Czechia";"2021-08-16";673502;571607;10;1322;1.10342877399993;0.308586013067776
"Czechia";"2021-08-23";562208;462747;17;1325;1.09407768269484;0.261830556542355
"Czechia";"2021-08-30";556792;245067;4;1753;1.15953532183043;0.224426191322019
"Czechia";"2021-09-06";509840;163869;8;2618;1.68319643491514;0.392745834813533
"Czechia";"2021-09-13";NA;73469;17;3049;2.51544356106763;0.598469843525384
"Denmark";"2019-12-30";NA;NA;0;0;NA;NA
"Denmark";"2020-01-06";NA;NA;0;0;NA;NA
"Denmark";"2020-01-13";NA;NA;0;0;NA;NA
"Denmark";"2020-01-20";NA;NA;0;0;NA;NA
"Denmark";"2020-01-27";3;NA;0;0;NA;NA
"Denmark";"2020-02-03";4;NA;0;0;NA;NA
"Denmark";"2020-02-10";4;NA;0;0;NA;NA
"Denmark";"2020-02-17";9;NA;0;0;NA;NA
"Denmark";"2020-02-24";337;NA;0;4;0.0171739773712239;NA
"Denmark";"2020-03-02";805;NA;0;34;0.154565796341015;NA
"Denmark";"2020-03-09";4959;NA;1;837;2.31848694511523;NA
"Denmark";"2020-03-16";7352;NA;12;520;5.65023855513268;NA
"Denmark";"2020-03-23";10025;NA;59;1000;9.66894925999908;NA
"Denmark";"2020-03-30";28264;NA;107;1974;5.598716623019;NA
"Denmark";"2020-04-06";27841;NA;94;1805;4.79153968657148;NA
"Denmark";"2020-04-13";28325;NA;82;1210;3.38327354213112;NA
"Denmark";"2020-04-20";78114;NA;67;1191;3.60653524795703;NA
"Denmark";"2020-04-27";100236;NA;59;948;2.35283489985768;NA
"Denmark";"2020-05-04";85581;NA;38;906;1.63152785026627;NA
"Denmark";"2020-05-11";86423;NA;28;498;1.09913455175833;NA
"Denmark";"2020-05-18";82950;NA;15;433;1.11630852912956;NA
"Denmark";"2020-05-25";88820;NA;12;309;0.893046823303645;NA
"Denmark";"2020-06-01";74955;NA;15;279;0.583915230621614;NA
"Denmark";"2020-06-08";95955;NA;8;245;0.463697389023046;NA
"Denmark";"2020-06-15";113160;NA;3;198;0.463697389023046;NA
"Denmark";"2020-06-22";114061;NA;4;284;0.515219321136718;NA
"Denmark";"2020-06-29";103260;NA;2;157;0.377827502166927;NA
"Denmark";"2020-07-06";97530;NA;3;114;0.291957615310807;NA
"Denmark";"2020-07-13";102400;NA;2;227;0.309131592682031;NA
"Denmark";"2020-07-20";107985;NA;2;265;0.326305570053255;NA
"Denmark";"2020-07-27";131798;NA;2;351;0.377827502166927;NA
"Denmark";"2020-08-03";169315;NA;2;653;0.549567275879166;NA
"Denmark";"2020-08-10";216382;NA;4;1175;0.343479547424479;NA
"Denmark";"2020-08-17";242452;NA;0;510;0.48087136639427;NA
"Denmark";"2020-08-24";243726;NA;3;573;0.377827502166927;NA
"Denmark";"2020-08-31";256152;NA;3;847;0.498045343765494;NA
"Denmark";"2020-09-07";330923;NA;2;1669;1.01326466490221;NA
"Denmark";"2020-09-14";353080;NA;6;2631;1.51131000866771;NA
"Denmark";"2020-09-21";350861;NA;14;4790;2.14674717140299;NA
"Denmark";"2020-09-28";307452;NA;9;3043;2.0093553524332;NA
"Denmark";"2020-10-05";297337;NA;11;2742;1.78609364660729;NA
"Denmark";"2020-10-12";239797;NA;11;2970;2.09522523928932;NA
"Denmark";"2020-10-19";333813;NA;22;4964;2.45587876408502;NA
"Denmark";"2020-10-26";434949;NA;21;6943;3.36609956475989;NA
"Denmark";"2020-11-02";461227;NA;20;7822;4.29349434280598;NA
"Denmark";"2020-11-09";486375;NA;17;7015;4.79153968657148;NA
"Denmark";"2020-11-16";503544;NA;24;8349;4.72284377708658;NA
"Denmark";"2020-11-23";502686;NA;45;8867;4.53393002600312;NA
"Denmark";"2020-11-30";543381;NA;56;11251;5.44415082667799;NA
"Denmark";"2020-12-07";685789;NA;56;19155;8.24350913818749;NA
"Denmark";"2020-12-14";861424;NA;94;24676;14.0998354217749;NA
"Denmark";"2020-12-21";646286;NA;169;18915;16.2637565705491;NA
"Denmark";"2020-12-28";538632;0;170;15362;17.1568033938527;NA
"Denmark";"2021-01-04";580431;12;223;14014;15.1989699735332;NA
"Denmark";"2021-01-11";611701;1516;208;7170;12.193523933569;NA
"Denmark";"2021-01-18";793313;57610;205;5401;10.4589522190754;NA
"Denmark";"2021-01-25";814057;145397;135;3664;6.54328537843632;NA
"Denmark";"2021-02-01";860434;154974;71;2661;4.31066832017721;NA
"Denmark";"2021-02-08";896229;94389;85;3178;3.5893612705858;NA
"Denmark";"2021-02-15";1053344;32838;42;3228;2.76501035676705;NA
"Denmark";"2021-02-22";1224225;24252;22;3665;3.26305570053255;NA
"Denmark";"2021-03-01";1438733;44058;16;3572;3.41762149687356;NA
"Denmark";"2021-03-08";1596287;116034;12;5807;3.07414194944909;NA
"Denmark";"2021-03-15";1951344;120604;9;5206;2.85088024362317;NA
"Denmark";"2021-03-22";2056438;108500;13;2415;3.62370922532825;NA
"Denmark";"2021-03-29";1908226;85372;15;5105;3.82979695378294;NA
"Denmark";"2021-04-05";2680953;90423;13;4509;3.53783933847213;NA
"Denmark";"2021-04-12";2795519;114288;16;5068;3.24588172316132;NA
"Denmark";"2021-04-19";3290932;151688;18;4952;3.26305570053255;NA
"Denmark";"2021-04-26";3440166;185328;13;5347;3.00544603996419;NA
"Denmark";"2021-05-03";3930031;398742;7;6315;2.5074006961987;NA
"Denmark";"2021-05-10";4068923;371605;6;7351;3.93284081801028;NA
"Denmark";"2021-05-17";4258419;315433;6;7074;2.78218433413828;NA
"Denmark";"2021-05-24";3947190;183298;7;6814;2.88522819836562;NA
"Denmark";"2021-05-31";3732910;268970;4;5721;2.54174865094114;NA
"Denmark";"2021-06-07";3288318;286310;6;3163;1.82044160134974;NA
"Denmark";"2021-06-14";2837931;308382;5;1690;1.20217841598568;NA
"Denmark";"2021-06-21";2192429;407058;2;1293;0.927394778046093;NA
"Denmark";"2021-06-28";2099225;531610;4;2560;0.618263185364062;NA
"Denmark";"2021-07-05";1893494;469071;2;4417;0.65261114010651;NA
"Denmark";"2021-07-12";1627557;572537;3;6873;1.27087432547057;NA
"Denmark";"2021-07-19";1417520;589293;1;5348;1.30522228021302;NA
"Denmark";"2021-07-26";1191802;458679;7;6193;1.51131000866771;NA
"Denmark";"2021-08-02";1039719;505117;2;6236;1.59717989552383;NA
"Denmark";"2021-08-09";973026;607212;8;7015;2.3700088772289;NA
"Denmark";"2021-08-16";1045483;342345;7;6504;3.24588172316132;NA
"Denmark";"2021-08-23";1065731;204527;13;6610;3.05696797207786;NA
"Denmark";"2021-08-30";802962;112164;12;4590;3.12566388156276;NA
"Denmark";"2021-09-06";630594;64788;22;3196;2.54174865094114;NA
"Denmark";"2021-09-13";NA;31128;16;2277;1.52848398603893;NA
"Estonia";"2019-12-30";NA;NA;0;0;NA;NA
"Estonia";"2020-01-06";NA;NA;0;0;NA;NA
"Estonia";"2020-01-13";NA;NA;0;0;NA;NA
"Estonia";"2020-01-20";NA;NA;0;0;NA;NA
"Estonia";"2020-01-27";NA;NA;0;0;NA;NA
"Estonia";"2020-02-03";2;NA;0;0;NA;NA
"Estonia";"2020-02-10";1;NA;0;0;NA;NA
"Estonia";"2020-02-17";1;NA;0;0;NA;NA
"Estonia";"2020-02-24";58;NA;0;1;0.0752459036130073;NA
"Estonia";"2020-03-02";243;NA;0;9;0;NA
"Estonia";"2020-03-09";1212;NA;0;161;0.300983614452029;NA
"Estonia";"2020-03-16";2673;NA;0;155;2.55836072284225;NA
"Estonia";"2020-03-23";7403;NA;3;353;5.64344277097555;3.91278698787638
"Estonia";"2020-03-30";11170;NA;12;418;7.52459036130073;NA
"Estonia";"2020-04-06";9647;NA;10;212;4.81573783123247;NA
"Estonia";"2020-04-13";10200;NA;15;219;3.23557385535931;NA
"Estonia";"2020-04-20";7500;NA;9;115;1.65540987948616;0.601967228904059
"Estonia";"2020-04-27";7393;NA;6;57;1.88114759032518;0.601967228904059
"Estonia";"2020-05-04";8210;NA;5;39;0.451475421678044;0.376229518065037
"Estonia";"2020-05-11";6252;NA;3;35;0.677213132517066;0.376229518065037
"Estonia";"2020-05-18";6426;NA;0;49;1.88114759032518;0.0752459036130073
"Estonia";"2020-05-25";7575;NA;0;46;0.526721325291051;0.0752459036130073
"Estonia";"2020-06-01";6477;NA;0;70;0.300983614452029;0
"Estonia";"2020-06-08";6028;NA;0;34;0.752459036130073;0
"Estonia";"2020-06-15";7977;NA;0;8;0.376229518065037;NA
"Estonia";"2020-06-22";2808;NA;0;6;0.150491807226015;0.0752459036130073
"Estonia";"2020-06-29";3373;NA;0;6;0.0752459036130073;0.0752459036130073
"Estonia";"2020-07-06";2798;NA;0;21;0.150491807226015;0.150491807226015
"Estonia";"2020-07-13";2376;NA;0;7;0;0.0752459036130073
"Estonia";"2020-07-20";2517;NA;0;13;0;0
"Estonia";"2020-07-27";3356;NA;0;45;0.150491807226015;0
"Estonia";"2020-08-03";6412;NA;0;73;0.451475421678044;0.0752459036130073
"Estonia";"2020-08-10";8148;NA;0;38;0.150491807226015;0
"Estonia";"2020-08-17";6133;NA;0;82;0.601967228904059;0
"Estonia";"2020-08-24";6917;NA;1;101;0.526721325291051;0
"Estonia";"2020-08-31";12311;NA;0;142;0.376229518065037;0
"Estonia";"2020-09-07";12443;NA;0;161;0.82770493974308;0.0752459036130073
"Estonia";"2020-09-14";16384;NA;0;248;1.42967216864714;0.225737710839022
"Estonia";"2020-09-21";18574;NA;0;276;2.48311481922924;0.225737710839022
"Estonia";"2020-09-28";14256;NA;3;407;2.25737710839022;0.300983614452029
"Estonia";"2020-10-05";11272;NA;1;258;1.0534426505821;0.300983614452029
"Estonia";"2020-10-12";10132;NA;0;213;1.80590168671218;0.150491807226015
"Estonia";"2020-10-19";NA;NA;5;333;1.35442626503413;0.300983614452029
"Estonia";"2020-10-26";11852;NA;0;574;2.33262301200323;0.225737710839022
"Estonia";"2020-11-02";15907;NA;2;1140;4.0632787951024;0.300983614452029
"Estonia";"2020-11-09";33987;NA;6;1512;5.49295096374953;0.601967228904059
"Estonia";"2020-11-16";38976;NA;7;2087;9.93245927691697;0.601967228904059
"Estonia";"2020-11-23";35701;NA;24;2328;12.4155740961462;0.902950843356088
"Estonia";"2020-11-30";35618;NA;19;2926;13.7700003611803;1.12868855419511
"Estonia";"2020-12-07";34192;NA;18;3077;13.0175413250503;1.42967216864714
"Estonia";"2020-12-14";37056;NA;25;3739;18.0590168671218;1.50491807226015
"Estonia";"2020-12-21";30825;0;39;4014;20.542131686351;2.18213120477721
"Estonia";"2020-12-28";29346;8;38;3713;19.3381972285429;2.48311481922924
"Estonia";"2021-01-04";34519;8;36;4284;19.1877054213169;2.33262301200323
"Estonia";"2021-01-11";31193;295;46;3539;21.068853011642;2.18213120477721
"Estonia";"2021-01-18";32218;6572;43;3372;21.6708202405461;2.40786891561623
"Estonia";"2021-01-25";33545;20702;43;3492;22.5737710839022;1.95639349393819
"Estonia";"2021-02-01";33398;18077;47;4059;21.8965579513851;1.58016397587315
"Estonia";"2021-02-08";34869;12562;35;4560;22.7995087947412;1.65540987948616
"Estonia";"2021-02-15";43041;10758;34;4789;25.1321318067444;2.1068853011642
"Estonia";"2021-02-22";43932;18267;63;9012;29.1201646982338;2.1068853011642
"Estonia";"2021-03-01";49211;21603;69;9555;40.0308207221199;3.00983614452029
"Estonia";"2021-03-08";50819;19143;61;9903;40.4822961437979;3.91278698787638
"Estonia";"2021-03-15";51269;10362;69;10308;39.5793453004418;4.28901650594142
"Estonia";"2021-03-22";42064;9194;82;7820;40.858525661863;3.83754108426337
"Estonia";"2021-03-29";32987;17806;71;5567;37.0962304812126;NA
"Estonia";"2021-04-05";33367;13869;87;4662;28.2924597584908;3.98803289148939
"Estonia";"2021-04-12";35575;23261;63;3339;21.3698366260941;3.00983614452029
"Estonia";"2021-04-19";30807;31275;43;2596;18.5104922887998;3.0850820481333
"Estonia";"2021-04-26";29631;54491;29;2565;16.4036069876356;3.16032795174631
"Estonia";"2021-05-03";30597;72921;32;2394;13.5442626503413;2.33262301200323
"Estonia";"2021-05-10";30810;42681;18;1869;10.534426505821;2.18213120477721
"Estonia";"2021-05-17";32473;63994;19;1463;9.85721337330396;1.50491807226015
"Estonia";"2021-05-24";27233;72994;11;875;5.86918048181457;0.601967228904059
"Estonia";"2021-05-31";28162;69791;12;612;3.53655746981134;0.526721325291051
"Estonia";"2021-06-07";23826;94885;2;382;2.78409843368127;0.376229518065037
"Estonia";"2021-06-14";25933;107823;2;280;2.85934433729428;0.225737710839022
"Estonia";"2021-06-21";18639;48593;1;165;1.73065578309917;0.300983614452029
"Estonia";"2021-06-28";19483;79904;1;224;1.12868855419511;0.300983614452029
"Estonia";"2021-07-05";21263;57838;0;301;1.58016397587315;0.150491807226015
"Estonia";"2021-07-12";27632;50912;1;374;1.0534426505821;0.0752459036130073
"Estonia";"2021-07-19";18494;51534;0;642;2.1068853011642;0.150491807226015
"Estonia";"2021-07-26";25281;34849;1;1247;3.0850820481333;0.150491807226015
"Estonia";"2021-08-02";29326;30313;5;1452;3.46131156619834;0.0752459036130073
"Estonia";"2021-08-09";39715;32492;2;1932;5.49295096374953;0.451475421678044
"Estonia";"2021-08-16";27447;25121;6;1971;5.26721325291051;0.82770493974308
"Estonia";"2021-08-23";31313;27922;6;2473;7.59983626491374;0.752459036130073
"Estonia";"2021-08-30";31526;29059;11;2402;8.72852481910885;0.82770493974308
"Estonia";"2021-09-06";38013;30200;11;2883;9.70672156607794;0.752459036130073
"Estonia";"2021-09-13";NA;16591;15;3258;9.55622975885193;0.978196746969095
"Finland";"2019-12-30";9;NA;0;0;NA;NA
"Finland";"2020-01-06";14;NA;0;0;NA;NA
"Finland";"2020-01-13";12;NA;0;0;NA;NA
"Finland";"2020-01-20";21;NA;0;0;NA;NA
"Finland";"2020-01-27";25;NA;0;1;NA;NA
"Finland";"2020-02-03";41;NA;0;0;NA;NA
"Finland";"2020-02-10";32;NA;0;0;NA;NA
"Finland";"2020-02-17";31;NA;0;0;NA;NA
"Finland";"2020-02-24";83;NA;0;5;NA;NA
"Finland";"2020-03-02";503;NA;1;24;NA;NA
"Finland";"2020-03-09";2421;NA;2;237;NA;NA
"Finland";"2020-03-16";7638;NA;8;359;NA;NA
"Finland";"2020-03-23";10379;NA;30;592;NA;NA
"Finland";"2020-03-30";12463;NA;43;709;NA;NA
"Finland";"2020-04-06";15756;NA;63;1047;NA;NA
"Finland";"2020-04-13";16349;NA;64;809;NA;NA
"Finland";"2020-04-20";23236;NA;41;793;NA;NA
"Finland";"2020-04-27";21364;NA;16;678;NA;NA
"Finland";"2020-05-04";21129;NA;23;708;NA;NA
"Finland";"2020-05-11";24285;NA;8;385;NA;NA
"Finland";"2020-05-18";20367;NA;4;232;NA;NA
"Finland";"2020-05-25";17380;NA;2;280;NA;NA
"Finland";"2020-06-01";15543;NA;0;122;NA;NA
"Finland";"2020-06-08";15596;NA;0;123;NA;NA
"Finland";"2020-06-15";12563;NA;2;39;NA;NA
"Finland";"2020-06-22";13959;NA;1;48;NA;NA
"Finland";"2020-06-29";18274;NA;1;81;NA;NA
"Finland";"2020-07-06";26080;NA;0;20;NA;NA
"Finland";"2020-07-13";30231;NA;0;46;NA;NA
"Finland";"2020-07-20";30074;NA;1;55;NA;NA
"Finland";"2020-07-27";34641;NA;2;60;NA;NA
"Finland";"2020-08-03";48786;NA;1;131;NA;NA
"Finland";"2020-08-10";72535;NA;1;147;NA;NA
"Finland";"2020-08-17";98622;NA;0;189;NA;NA
"Finland";"2020-08-24";108154;NA;0;157;NA;NA
"Finland";"2020-08-31";102462;NA;4;214;NA;NA
"Finland";"2020-09-07";79725;NA;5;289;NA;NA
"Finland";"2020-09-14";97799;NA;2;400;NA;NA
"Finland";"2020-09-21";91405;NA;4;702;NA;NA
"Finland";"2020-09-28";85043;NA;2;856;NA;NA
"Finland";"2020-10-05";103583;NA;8;1460;NA;NA
"Finland";"2020-10-12";87857;NA;3;1426;NA;NA
"Finland";"2020-10-19";97762;NA;5;1424;NA;NA
"Finland";"2020-10-26";89021;NA;2;1443;NA;NA
"Finland";"2020-11-02";89187;NA;12;1506;NA;NA
"Finland";"2020-11-09";91562;NA;18;1518;NA;NA
"Finland";"2020-11-16";104308;NA;29;2324;NA;NA
"Finland";"2020-11-23";132807;NA;34;2990;NA;NA
"Finland";"2020-11-30";132127;NA;45;3002;NA;NA
"Finland";"2020-12-07";120798;NA;38;3179;NA;NA
"Finland";"2020-12-14";123811;NA;35;2352;NA;NA
"Finland";"2020-12-21";90589;0;21;1975;NA;NA
"Finland";"2020-12-28";72649;0;26;1782;NA;NA
"Finland";"2021-01-04";75105;0;26;1671;NA;NA
"Finland";"2021-01-11";73207;20;29;1747;NA;NA
"Finland";"2021-01-18";94981;19740;27;2243;NA;NA
"Finland";"2021-01-25";106367;58716;13;2902;NA;NA
"Finland";"2021-02-01";116188;132790;15;2487;NA;NA
"Finland";"2021-02-08";116856;66726;22;2350;NA;NA
"Finland";"2021-02-15";127181;25716;17;3813;NA;NA
"Finland";"2021-02-22";138626;34326;35;3540;NA;NA
"Finland";"2021-03-01";148426;13060;20;4391;NA;NA
"Finland";"2021-03-08";150512;3644;20;4806;NA;NA
"Finland";"2021-03-15";147208;4826;25;4774;NA;NA
"Finland";"2021-03-22";137867;4014;22;4360;NA;NA
"Finland";"2021-03-29";126019;5220;11;3393;NA;NA
"Finland";"2021-04-05";122052;25976;9;2657;NA;NA
"Finland";"2021-04-12";115672;121878;18;2078;NA;NA
"Finland";"2021-04-19";117562;120404;8;1673;NA;NA
"Finland";"2021-04-26";120533;70026;9;1424;NA;NA
"Finland";"2021-05-03";134400;155366;5;1495;NA;NA
"Finland";"2021-05-10";116186;286890;14;1382;NA;NA
"Finland";"2021-05-17";120998;381556;12;1421;NA;NA
"Finland";"2021-05-24";122759;439280;4;906;NA;NA
"Finland";"2021-05-31";112569;487140;2;794;NA;NA
"Finland";"2021-06-07";99751;499458;0;595;NA;NA
"Finland";"2021-06-14";95548;475280;2;513;NA;NA
"Finland";"2021-06-21";70248;507486;1;750;NA;NA
"Finland";"2021-06-28";97938;696476;1;1379;NA;NA
"Finland";"2021-07-05";95321;821136;2;1619;NA;NA
"Finland";"2021-07-12";97558;741542;3;2074;NA;NA
"Finland";"2021-07-19";118088;823140;1;2816;NA;NA
"Finland";"2021-07-26";122770;834032;4;4349;NA;NA
"Finland";"2021-08-02";139102;796264;7;4886;NA;NA
"Finland";"2021-08-09";143712;861012;12;5324;NA;NA
"Finland";"2021-08-16";161016;824614;11;4515;NA;NA
"Finland";"2021-08-23";175925;758862;10;4047;NA;NA
"Finland";"2021-08-30";171923;789888;14;4009;NA;NA
"Finland";"2021-09-06";121981;701884;9;3536;NA;NA
"Finland";"2021-09-13";NA;219928;10;2619;NA;NA
"France";"2019-12-30";NA;NA;0;0;NA;NA
"France";"2020-01-06";NA;NA;0;0;NA;NA
"France";"2020-01-13";NA;NA;0;0;NA;NA
